Annualised Plan Budgets (ending Dec):
2025, 85100
2024, 82400
2023, 77700
2022, 73900
2021, 68500
2020, 71200
2019, 65900
2018, 60100

Number of Participants:
2025, 739414
2024, 661267
2023, 610502
2022, 534655
2021, 466619
2020, 466619
2019, 391999
2018, 286015

Average Payment per Participant:
2018, 39600
2019, 47800
2020, 52300
2021, 54900
2022, 57700
2023, 62600
2024, 65800
2025, 66700

Participation Rates Distribution by Age:

2022: (%)
Age, Male, Female, Total
0, 0, 0, 0
5, 10.2, 4.3, 7.3
10, 7.9, 3.5, 5.8
15, 5.5, 3, 4.3
20, 3.2, 1.9, 2.6
25, 1.9, 1.2, 1.6
30, 1.4, 1, 1.2
35, 1.2, 0.9, 1.1
40, 1.4, 1.2, 1.3
45, 1.3, 1.2, 1.3
50, 1.8, 1.6, 1.7
55, 1.8, 1.6, 1.7
60, 2.1, 1.9, 2.0

2023: (%)
Age, Male, Female, Total
0, 0, 0, 0
5, 12.4, 5.5, 9.1
10, 8.8, 4.1, 6.6
15, 6.3, 3.5, 5
20, 3.8, 2.2, 3.1
25, 2.3, 1.5, 2.0
30, 1.6, 1.1, 1.4
35, 1.4, 1.1, 1.2
40, 1.4, 1.2, 1.3
45, 1.6, 1.4, 1.5
50, 1.8, 1.6, 1.7
55, 2.0, 1.8, 1.9
60, 2.3, 2.0, 2.2

2024: (%)
Age, Male, Female, Total
0, 0, 0, 0
5, 12.7, 5.8, 9.6
10, 9.4, 4.5, 7.1
15, 7.0, 3.9, 5.6
20, 3.9, 2.3, 3.2
25, 2.5, 1.6, 2.1
30, 1.7, 1.5, 1.2
35, 1.4, 1.2, 1.1
40, 1.4, 1.2, 1.3
45, 1.6, 1.5, 1.4
50, 1.8, 1.7, 1.6
55, 2.0, 2.0, 1.9
60, 2.3, 2.2, 2.1

2025: (%)
Age, Male, Female, Total
0, 0, 0, 0
5, 13.8, 6.5, 10.3
10, 10.2, 5.1, 7.7
15, 7.8, 4.5, 6.3
20, 4.4, 2.7, 3.7
25, 2.7. 1.8. 2.3
30, 1.8, 1.4, 1.6
35, 1.6, 1.2, 1.4
40, 1.4, 1.3, 1.4
45, 1.6, 1.5, 1.6
50, 1.9, 1.7, 1.8
55, 2.1, 1.9, 2.0
60, 2.3, 2.1, 2.3
65, 2.7, 2.4, 2.6
70, 1.5, 1.4, 1.5






•	High pressure scenario:
The high-pressure scenario is modelled under high participation growth, moderate services budget growth and high payment growth. This represents a scenario with high services pressure through increased utilisation rates and participants, without corresponding budget increases. Total participation is forecasted to increase by 26% over the coming 15 years to approximately 960,000, total services budget by 105% to $134 billion, total payments by 109% to $131 billion and utilisation to increase by 2% to 98%.






